"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-01",," 0954","0.00","0.0","0.0",,"42","28",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-02",," 1242","0.04","0.0","0.0",,"38","27",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-03",," 1154","0.91","0.0","0.0",,"54","37",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-04",," 0300","0.00","0.0","0.0",,"45","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-05",," 1200","0.00","0.0","0.0",,"43","34",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-06",," 0236","0.00","0.0","0.0",,"40","33",,"    1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-07",," 2236","0.12","0.0","0.0",,"39","35",,"    1",,,,,,,"    1",,,,,,,,"    1",,"    1",,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-08",," 1424","0.00","0.0","0.0",,"50","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-09",," 0000","0.00","0.0","0.0",,"47","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-10",," 1924","0.00","0.0","0.0",,"57","30",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-11",," 0612","0.00","0.0","0.0",,"49","33",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-12",," 2342","0.27","0.0","0.0",,"35","31",,"    1",,,"    1",,"    1",,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-13",," 1724","0.08","0.0","0.0",,"54","35",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-14",," 0848","0.07","0.0","0.0",,"44","39",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-15",," 2106","0.62","0.0","0.0",,"53","40",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-16",," 0212","0.00","0.0","0.0",,"45","33",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-01-17",," 1018","0.00","0.0","0.0",,"43","32",,,,,,,,,,,,,,,,,,,,,,,
